Gene_Symbol,disease_association,essential_gene,loss_of_function_tolerance,loss_of_function_constraint,observed_expected_lof_ratio,rvis_score,gwas_associations,protein_protein_interactions,chemical_gene_interactions,drug_interaction_types,known_antibodies,antibody,antibody_availability,small_molecule,tractable_modalities,overall_therapeutic_potential,functional_characterization,protein_domains,protein_length,expression_tissue_specificity,expression_specificity,expression_broadly_expressed,alternative_splicing
ABHD17A,0.6,,0.8,,,,,,,,,,,,,,,,,,,,
ABHD17B,,,,,,,,,,,,1.0,,,,,,,,,,,
ABHD17C,,,,0.94,0.0,,,,0.5,,0.7,,,,0.75,,0.9,0.8,0.5,0.81,,,
ABHD18,,,0.0,,0.0,,,0.4,0.6,,0.8,,,,0.9,,,,0.5,,,0.6,
ABHD2,,,,0.72,0.19,,,,0.73,,,,1.0,,0.8,0.75,,,0.85,,,,
ABHD3,,,0.0,,,,0.5,,,,,,0.9,,0.8,,,,,,0.6,,
ABHD4,,,0.0,,0.7,,,,0.85,,0.9,,,,0.8,,,,0.5,0.68,,,
ABHD5,,,0.0,,0.64,,,,,,,,,,,,,,,,,,
ABHD6,,,0.0,,0.58,,0.8,,0.7,0.6,0.9,,,,0.8,0.75,,,0.7,,,,
ABHD8,,,,0.97,0.06,,,0.5,0.8,,0.99,,,,,,,,0.88,,,,
ABI1,,,,,,,,,,,,,,,,,,,,,,,
ABI2,,,0.45,,0.22,,0.1,0.5,0.64,,0.84,,,,,,,,0.51,0.61,,,
ABI3,,,0.0,,0.47,,0.2,,0.7,,0.9,,,,0.6,,,0.8,0.5,0.97,,,
ABI3BP,,,0.0,,0.38,,0.8,,0.7,,0.9,,,,0.85,,,0.6,0.5,,,,
ABL1,0.8,1.0,,1.0,0.93,,,0.5,0.6,0.9,0.7,,,,,,,0.9,,0.75,,,
ABL2,,,0.0,,0.4,,,,0.8,0.7,0.9,,,,0.8,,,,0.75,0.65,,,
ABLIM1,,,,0.89,0.19,,,0.6,0.9,,0.95,,,,0.8,,,,0.78,0.89,,,
ABLIM2,,,0.0,,0.3,,,0.5,0.7,,0.9,,,,0.7,0.65,,,0.6,0.89,,,
ABLIM3,,,0.0,,0.4,0.7,0.6,0.6,0.7,,0.8,,,,0.8,,,,0.5,,,,
ABO,0.5,,0.0,,,,,,,,,,,,,,0.7,,,,,,
ABR,,,,0.91,0.19,,0.4,,0.64,,0.74,,,,,0.7,,,0.85,,,,
ABRA,,,,,,,,,,,,,,,,,,,,,,,
ABRACL,,,0.25,,0.3,,0.1,,0.6,,0.53,,,,0.8,0.55,,,0.81,0.89,,,
ABRAXAS1,,,0.0,,0.0,,,0.5,0.6,,0.8,,,,0.8,,,,0.7,0.9,,,0.5
ABRAXAS2,,,,,,,,,,,,,,,,,,,,,,,
ABT1,,,0.8,,,,0.9,,0.75,,,,0.85,,0.8,,,,,,0.7,,
ABTB1,,,0.0,,0.46,0.9,,0.5,0.6,,0.8,,,,0.8,,,0.8,0.7,,,,
ABTB2,,,0.0,,0.3,,,0.85,0.6,,0.9,,,,0.6,,,0.75,0.7,,,,
ACAA1,0.9,,0.0,,0.75,,,0.6,0.8,,0.9,,,,0.8,,,,0.7,,,0.5,0.7
ACAA2,,,0.0,,0.87,,,0.4,0.8,,0.9,,,,0.7,,,,0.6,,,,
ACACA,,1.0,,1.0,0.15,,,,0.8,0.6,0.9,,,,,,,,0.7,,,0.5,
ACACB,,,0.0,,0.69,,,,0.75,0.6,0.7,,,,,,,,0.8,0.85,,,
ACAD10,,,0.0,,0.87,0.2,0.8,,0.7,,0.9,,,,0.8,,,,0.5,,,0.6,
ACAD11,,,0.0,,,,0.8,,,,,,0.9,,0.7,0.78,,,,,0.96,,
ACAD8,0.8,,0.0,,0.84,,,,0.7,,,,0.9,,0.7,,,,0.5,,,0.6,
ACAD9,0.8,,0.0,,,,,0.6,,,,,0.9,,0.8,0.7,0.9,,,,,,
ACADL,1.0,1.0,0.0,,0.8,,0.6,0.1,0.8,,0.9,,,,,,,,,0.89,,,
ACADM,1.0,1.0,0.0,,0.8,,0.75,,0.7,,0.6,,,,,,1.0,,,0.6,,,
ACADS,,,0.0,,0.61,,0.8,0.2,0.8,,0.9,,,,0.6,,0.9,,0.5,,,,
ACADSB,0.5,,0.0,,0.79,,,0.3,0.8,,0.9,,,,,,,,0.5,0.8,,,
ACADVL,0.8,,0.0,,,,,0.5,,,,,,,,,,,,,0.6,,
ACAN,,1.0,,1.0,0.1,,0.8,0.5,0.7,,,,,,,,,,0.6,,,0.4,
ACAP1,,,0.8,,0.5,,,,0.8,,0.9,,,,0.8,0.82,,0.75,0.7,0.95,,,
ACAP2,,,,0.94,0.19,,,,0.8,,0.85,,,,0.85,,,,0.78,,,,
ACAP3,,,0.0,,0.33,,,0.7,0.6,,0.9,,,,0.75,,,0.8,0.7,,,,
ACAT1,0.7,,0.0,,0.67,,,0.5,0.8,,0.9,,,,0.6,,,,0.5,0.7,,,
ACAT2,0.7,,0.0,,0.7,,,0.5,0.8,,0.9,,,,,,,,0.6,,,,
ACBD3,,,0.9,,0.5,,,,0.7,,0.8,,,,0.7,0.7,,,0.6,,,,
ACBD4,,,0.0,,0.57,,0.6,,0.75,,0.8,,,,0.8,,,,0.5,0.7,,,
ACBD5,0.7,,0.8,,,,,,,,,,0.9,,0.85,,0.75,,,,,,
ACBD6,,,0.0,,0.69,,,,0.8,,0.9,,,,0.7,,,,0.5,,,,
ACBD7,,,0.11,,0.4,,,0.73,0.67,,1.0,,,,0.75,,,,0.88,,,,
ACCS,,,0.0,,0.53,0.71,0.1,,0.6,,0.8,,,,,,0.5,,0.5,0.73,,,
ACCSL,,,0.0,,0.94,,,,0.5,,0.7,,,,,0.7,,,0.6,1.0,,,
ACD,,,0.0,,0.87,,0.5,0.6,0.8,,0.9,,,,0.6,,,,0.5,0.7,,,
ACE,0.9,,,,,,,,,,,,,,,,,,,,,,
ACE2,,,,1.0,0.1,,,,0.75,0.6,0.9,,,,,0.85,,,0.8,1.0,,,
ACER1,,,0.0,,0.52,,,,0.8,,0.9,,,,0.8,0.8,,,0.5,1.0,,,
ACER2,,,0.05,,0.32,,,,0.11,,0.46,,,,,,,,0.275,0.79,,,
ACER3,,,,,,,,,,,,,,,,,,,,,,,
ACHE,,1.0,,1.0,0.96,,0.8,,0.75,0.9,0.85,,,,,0.88,,,0.7,0.93,,,
ACIN1,,,,1.0,0.88,,,,0.8,,0.9,,,,,0.8,,,0.6,,,,
ACKR1,0.8,,0.0,,,,,,,,,,0.9,,,,,,,,0.86,,
ACKR2,,,0.0,,0.71,,0.8,0.2,0.6,,0.9,,,,,,,,0.5,0.86,,,
ACKR3,0.8,,0.38,,0.22,,,0.5,0.7,0.6,0.9,,,,,,,,0.5,0.85,,,
ACKR4,,,0.0,,0.5,,,,0.7,0.8,0.9,,,,,,,,0.7,0.88,,,
ACLY,,0.8,0.95,,,,0.7,,0.85,,,,0.9,,0.85,,,,,,0.7,,
ACMSD,0.9,,0.0,,,,0.8,0.2,0.7,,,,0.9,,,,,,,,1.0,,
ACO1,,1.0,0.0,,0.69,,0.9,,0.75,,0.85,,,,,,,,,0.68,,,
ACO2,,,0.18,,0.24,0.847,0.5,,0.75,,0.9,,,,0.8,,,,0.78,0.65,,,
ACOD1,,,0.0,,0.0,,,,,,0.8,,,,,0.75,,,0.5,1.0,,,
ACOT1,,,0.0,,0.62,,,,0.73,,0.86,,,,0.7,,,,0.5,,,0.52,
ACOT11,,,0.0,,0.78,0.85,0.1,0.2,0.8,,0.9,,,,0.7,,,,0.5,0.73,,,0.5
ACOT12,,,0.0,,0.75,,,0.6,0.8,,0.95,,,,0.9,,,,0.5,1.0,,,
ACOT13,,,0.0,,0.7,,,,0.8,,0.9,,,,0.7,,,,0.5,,,0.6,
ACOT2,,,0.0,,0.78,,,0.4,0.8,,0.9,,,,0.8,,,,0.5,,,,
ACOT4,,,0.0,,0.5,,,,0.7,,0.9,,,,0.7,0.7,,0.8,0.6,0.76,,,
ACOT6,,,0.0,,,,,0.6,0.8,,,,0.9,,,,0.7,,,,0.89,,
ACOT7,,,,0.79,0.16,,,,0.8,,0.85,,,,0.6,0.78,0.9,,0.76,0.82,,,
ACOT8,,,0.0,,0.6,,,0.6,0.8,,0.9,,,,0.8,0.65,,,0.5,,,0.5,
ACOT9,,,0.0,,0.8,,,,0.8,,0.9,,,,0.6,,,,0.5,0.71,,,
ACOX1,,,0.1,,0.26,,0.1,,0.8,,0.9,,,,,,0.8,,,,,0.5,
ACOX2,0.7,,0.0,,0.63,,,0.6,0.8,,,,0.9,,0.9,0.7,,,0.5,0.81,,,
ACOX3,0.3,,0.0,,0.79,,,0.6,0.85,,0.9,,,,0.7,,0.5,,0.7,0.68,,,
ACOXL,,,0.0,,0.81,,0.9,,0.7,,0.8,,,,,0.75,,,0.5,1.0,,,
ACP1,,,0.0,,,,0.8,0.6,0.7,,,,0.9,,0.8,,,,,,,0.5,
ACP2,,,0.0,,0.38,,0.6,,0.7,,0.9,,,,0.8,,,,0.8,,,0.5,0.7
ACP4,,,,,,,,,,,,,,,,,,,,,,,
ACP5,,,0.3,,,,0.5,0.4,0.6,,0.8,,,,0.8,,0.6,,,0.9,,,
ACP6,,,0.0,,0.99,,,,0.73,,0.94,,,,0.7,,0.8,,0.5,,,,
ACP7,,,0.0,,0.0,,,0.5,0.6,,0.8,,,,0.9,,,,0.5,,,,
ACR,,,0.07,,0.33,,,,0.6,0.1,0.9,,,,0.7,,,0.8,0.84,1.0,,,
ACRBP,,,0.0,,0.65,,,,0.6,,0.9,,,,0.7,,,,0.7,,,,
ACRV1,,,0.0,,0.83,,,,0.7,,0.8,,,,0.8,,,,0.5,1.0,,,0.6
ACSBG1,,,0.0,,0.39,0.72,0.6,0.1,0.7,,0.8,,,,0.7,,,,0.5,0.88,,,
ACSBG2,,,0.0,,0.62,,,0.5,0.75,,0.9,,,,0.7,,,,0.8,1.0,,,
ACSF2,,,0.0,,0.43,0.8,,0.2,0.7,,0.9,,,,0.7,,0.85,,0.6,0.78,,,
ACSF3,0.8,,0.0,,0.4,,,,0.5,,0.7,,,,0.9,,0.7,,0.5,,,0.6,
ACSL1,,,0.9,,,,,,0.6,,,,0.8,,0.75,,,,,,0.95,,
ACSL3,,,0.0,,0.32,,0.1,,0.85,,0.76,,,,,0.65,,,0.72,,,0.52,
ACSL4,0.5,,,0.99,0.11,,,,0.85,,,,0.9,,0.8,0.75,,,0.71,0.62,,,
ACSL5,,,0.0,,,,0.8,,,,,,0.9,,0.75,,0.9,,,,0.97,,
ACSL6,,,0.0,,0.3,,0.5,,0.8,,0.9,,,,0.8,,,,0.5,0.88,,,
ACSM1,,,0.0,,0.79,,,,0.7,,0.8,,,,,0.75,,,0.5,0.94,,,
ACSM2A,,,0.0,,0.5,,0.4,,0.7,,0.6,,,,0.6,,,,0.5,1.0,,,
ACSM2B,,,0.0,,0.5,0.8,0.3,,0.5,,0.6,,,,0.7,,,,0.7,1.0,,,
ACSM3,0.7,,0.0,,,,0.5,,0.7,,0.8,,,,0.5,,,,,,1.0,,
ACSM4,,,0.0,,0.9,,,,0.8,,0.9,,,,,,0.9,,0.7,1.0,,,
ACSM5,,,0.0,,0.81,0.9933,0.1,0.8,0.7,,0.9,,,,0.7,,,,0.579,1.0,,,
ACSM6,,,0.0,,0.0,,,,0.7,,0.8,,,,0.6,,,,0.5,0.95,,,
ACSS1,,,0.0,,0.5,,,,0.6,,0.8,,,,0.5,,,,0.7,,,0.5,0.7
ACSS2,,,0.0,,0.65,0.5,,,0.8,,0.9,,,,,,,,0.7,,,,
ACSS3,,,0.0,,0.64,,,,0.8,,0.9,,,,0.6,0.65,0.7,,0.5,0.84,,,
ACTA1,0.8,1.0,0.0,,0.76,0.32,,,0.8,,0.9,,,,0.7,0.75,,,,,1.0,,
ACTA2,,,,0.93,0.12,,0.6,0.7,0.85,,0.9,,,,,,,,0.75,0.95,,,
ACTB,,,,1.0,0.0,,,,,,,,,,,,,,,,,,
ACTBL2,,,0.0,,0.6,,,0.88,0.78,,0.94,,,,0.6,,,,0.75,,,,
ACTC1,,,,,,,,,,,,,,,,,,,,,,,
ACTG1,,1.0,0.0,,0.44,,0.5,,0.7,,0.9,,,,0.8,,,1.0,,0.7,,,
ACTG2,,,,,,,,,,,,,,,,,,,,,,,
ACTL10,,,0.2,,0.5,,,,0.6,,0.8,,,,0.9,0.6,,0.7,0.5,1.0,,,
ACTL6A,,,,1.0,0.08,0.9,,0.7,0.7,0.6,0.8,,,,,,,,0.7,,,,
ACTL6B,,,0.0,,0.39,,0.8,,0.7,,0.6,,,,,0.85,,,,,,,
ACTL7A,,,0.0,,0.84,,,,0.6,,0.9,,,,,,0.5,,0.5,,,,
ACTL7B,0.2,,0.0,,0.92,,,,0.4,,0.9,,,,,,0.5,,0.5,,1.0,,
ACTL8,,,0.3,,0.26,,,,0.78,,0.92,,,,0.6,,,,0.73,,,,
ACTL9,,,0.0,,,,0.8,,,,,,0.9,,,0.75,,,,,,,
ACTN1,,,,,,,,,,,,0.9,,,,,,,,,,,
ACTN2,,,,,,,,,,,,0.8,,0.6,,,,,,,,,
ACTN3,0.8,,0.0,,,,,,,,,,0.9,,0.8,0.75,,,,,,,
ACTN4,0.8,1.0,,1.0,0.98,,,,0.85,,,,0.9,,,,,,0.7,,,,
ACTR10,,,0.0,,0.39,0.75,,,0.8,,0.9,,,,0.8,,0.7,,0.5,,,0.5,
ACTR1A,,,,0.96,0.13,0.286,0.4,0.7,0.6,,0.9,,,,0.7,,,,0.75,,,0.5,
ACTR1B,,,0.0,,0.4,,,0.7,0.7,,0.9,,,,0.7,,,,0.6,,,0.5,
ACTR2,,,,,,,,,,,,0.8,,0.6,,,,,,,,,
ACTR3,,1.0,,1.0,0.0,,,0.7,0.6,,0.7,,,,0.5,,,,0.8,,,,
ACTR3B,,,,1.0,0.04,,,0.75,0.8,,0.9,,,,0.9,,,,0.7,,,,
ACTR3C,,,0.0,,,,0.5,,,,,,0.75,,0.9,0.75,,,,,,,
ACTR5,,,,,,,,,,,,,,,,,,,,,,,
ACTR6,,,,,,,,,,,,0.9,,0.6,,,,,,,,,
ACTR8,,,0.0,,0.74,,,0.7,0.8,,0.9,,,,0.7,,,,0.6,,,,
ACTRT1,,,0.0,,0.73,,,0.5,0.4,,0.76,,,,,0.65,,,0.5,,,,
ACTRT2,,,0.0,,0.73,,0.1,0.2,0.7,,0.9,,,,,,,0.8,0.5,1.0,,,
ACTRT3,,,0.0,,0.5,,0.8,0.3,0.6,,0.9,,,,,,,0.8,0.7,1.0,,,
ACVR1,0.8,1.0,0.38,,0.23,,,0.6,0.7,0.5,0.9,,,,,,,0.9,,0.76,,,
ACVR1B,,1.0,,1.0,0.04,,0.7,,0.6,0.6,0.5,,,,,,,,,0.7,,,
ACVR1C,,,0.0,,0.37,,,0.7,0.8,0.9,0.9,,,,,,,0.9,0.8,,,,
ACVR2A,0.75,1.0,,1.0,0.96,,0.8,,0.7,0.5,0.9,,,,0.8,,,0.9,,0.7,,,
ACVR2B,0.8,1.0,,0.81,0.18,,,0.7,0.75,0.6,0.9,,,,,,,0.85,,0.72,,,
ACVRL1,,1.0,0.0,,0.41,,0.6,0.3,0.4,0.5,0.7,,,,,,,0.9,,0.87,,,
ACY1,0.8,,0.0,,0.73,,,0.5,0.8,,,,0.9,,0.6,,,,0.5,,,,
ACY3,,,0.0,,0.83,0.36,0.1,,0.7,,0.8,,,,0.6,,,,0.5,1.0,,,
ACYP1,,,0.07,,0.51,,,,0.9,,0.95,,,,0.75,,,,0.99,,,0.54,0.8
ACYP2,,,0.0,,,,0.8,0.6,0.7,,,,0.9,,0.7,,,,,0.8,,,
ADA,0.8,1.0,0.0,,0.84,,,0.6,0.8,0.7,0.9,,,,,,,,,0.87,,,
ADA2,0.7,,1.0,,1.0,,,,0.85,,0.9,,,,,,,,0.8,0.86,,,
ADAD1,,,0.12,,0.26,,0.4,,0.6,,0.88,,,,,,,,0.57,1.0,,,
ADAD2,,,0.0,,0.8,,,0.5,0.6,,0.8,,,,,0.75,,,0.7,,,,
ADAM10,0.8,1.0,,1.0,0.02,,,,0.5,0.6,0.7,,,,,,,,,,,,
ADAM11,,,0.0,,,,,,,,,,,,,,,,,,0.97,,0.5
ADAM12,,1.0,0.0,,0.39,0.54,0.4,,0.6,0.5,0.7,,,,,0.7,,0.8,,,,,
ADAM15,,,0.0,,,,0.8,,,,,,0.9,,,,,,,,0.71,,
ADAM17,0.8,1.0,,1.0,0.88,,,0.5,0.9,0.6,0.7,,,,,,,,,,,,
ADAM18,,,0.0,,0.5,,,0.8,0.6,,0.9,,,,0.8,,,,0.7,,,,
ADAM19,,1.0,0.0,,0.31,,0.8,,0.7,,0.9,,,,0.8,,,,,0.79,,,
ADAM2,,,0.0,,0.87,,0.1,0.6,0.7,,0.9,,,,0.8,,,,0.5,1.0,,,
ADAM20,,,0.0,,0.0,,,0.5,0.7,,0.9,,,,0.7,,,,0.6,1.0,,,
ADAM21,,,0.0,,0.99,,,0.8,0.7,,0.9,,,,,0.75,,0.6,0.7,1.0,,,
ADAM22,0.9,1.0,0.19,,0.24,,,0.7,0.8,,,,0.95,,,,,,0.6,,,,
ADAM23,,1.0,,1.0,0.15,,0.8,0.5,0.6,,0.7,,,,,,,0.9,,0.91,,,
ADAM28,,,0.0,,,,0.5,,0.7,,0.8,,,,0.6,,,,0.6,0.9,,,
ADAM29,,,1.0,,,,0.8,,0.7,,,,0.9,,0.9,0.8,,,,1.0,,,
ADAM30,,,0.0,,,,0.5,0.7,0.6,,,,0.8,,0.9,0.6,,,0.5,1.0,,,
ADAM32,,,0.0,,0.66,,,0.7,0.6,,0.9,,,,0.8,,,,0.5,1.0,,,
ADAM33,,,0.0,,0.67,,,0.6,0.7,0.5,0.9,,,,,0.75,,,0.8,,,,
ADAM5,,,0.0,,0.0,,,,0.6,,,,,,,,,,0.5,,,,
ADAM7,,,0.0,,0.77,,,0.5,0.4,,0.8,,,,0.7,,,,0.5,,,,
ADAM8,,,0.0,,0.64,,,,0.6,0.5,0.8,,,,0.7,0.7,,0.7,0.5,,,,0.6
ADAM9,0.5,,0.03,,0.26,0.39,,,0.75,,,,0.9,,0.67,,,,0.82,,,,
ADAMDEC1,,,0.0,,0.92,,,,0.8,,0.9,,,,0.8,,,,0.5,1.0,,,
ADAMTS1,,,,,,,,,,,,0.8,,0.6,,,,,,,,,
ADAMTS10,,,,0.84,0.2,,0.92,,0.87,,0.9,,,,0.8,0.82,,,0.75,0.79,,,
ADAMTS12,,,0.0,,0.51,,,0.5,0.7,,0.62,,,,0.9,,,,0.75,0.89,,,
ADAMTS13,,,0.0,,0.52,,0.8,,0.8,,0.9,,,,,,,,0.75,0.82,,,
ADAMTS14,,,0.0,,0.5,,,,0.8,,0.9,,,,0.8,,0.7,,0.7,1.0,,,
